,province,time,temperature,humidity,rain
0,BKK,2021-03-30T19:00:00+07:00,30.74,70.18,0
1,BKK,2021-03-30T20:00:00+07:00,30.35,64.07,0
2,BKK,2021-03-30T21:00:00+07:00,30.04,67.02,0
3,BKK,2021-03-30T22:00:00+07:00,29.71,69.52,0
4,BKK,2021-03-30T23:00:00+07:00,29.26,71.23,0
5,BKK,2021-03-31T00:00:00+07:00,29.03,65.16,0
6,BKK,2021-03-31T01:00:00+07:00,28.97,70.06,0
7,BKK,2021-03-31T02:00:00+07:00,28.98,71.6,0
8,BKK,2021-03-31T03:00:00+07:00,28.96,73.49,0
9,BKK,2021-03-31T04:00:00+07:00,28.86,75.88,0
10,BKK,2021-03-31T05:00:00+07:00,28.71,76.2,0
11,BKK,2021-03-31T06:00:00+07:00,28.36,75.63,0
12,BKK,2021-03-31T07:00:00+07:00,28.22,67.59,0
13,BKK,2021-03-31T08:00:00+07:00,28.87,52.48,0
14,BKK,2021-03-31T09:00:00+07:00,30.14,48.49,0
15,BKK,2021-03-31T10:00:00+07:00,31.83,41.38,0
16,BKK,2021-03-31T11:00:00+07:00,33.19,51.64,0
17,BKK,2021-03-31T12:00:00+07:00,33.81,48.61,0
18,BKK,2021-03-31T13:00:00+07:00,34.54,45.43,0
19,BKK,2021-03-31T14:00:00+07:00,35.69,41.22,0
20,BKK,2021-03-31T15:00:00+07:00,36.45,38.12,0
21,BKK,2021-03-31T16:00:00+07:00,36.07,40.93,0
22,BKK,2021-03-31T17:00:00+07:00,34.49,44.46,0
23,BKK,2021-03-31T18:00:00+07:00,31.75,62.31,0
24,BKK,2021-03-31T19:00:00+07:00,31.24,63.02,0
